fecha	E099NEMBA	E099LLUVIAS	E099TEMPMAX	E099TEMPMIN
01-04-2024	 30,08   	83	18	14
02/04/2024	 30,20   	0	20	13
03/04/24	 30,31   	0	21	14
04/04/24	 30,41   	0	24	16
05/04/24	 30,51   	0	22	17
08/04/24	 30,82   	0	21	17
09/04/24	 30,91   	0	21	16
11/04/24	 31,11   	0	22	18
12/04/24	 31,20   	0	20	18
15/04/24	 31,45   	0	22	17
16/04/24	 31,53   	0	30	18
17/04/24	 31,60   	0	31	23
18/04/24	 31,68   	0	30	17
19/04/24	 31,74   	0	26	16
22/04/24	 31,91   	3	21	16
23/04/24	 31,97   	0	25	18
24/04/24	 32,03   	0	23	15
25/04/24	 32,08   	0	22	16
26/04/24	 32,14   	0	24	17
29/04/24	 32,29   	6,3	22	15
30/04/24	 32,34   	0	22	16
